hs6_code,full_code,name_fa,aliases
000000,00000000,Undefined,
010100,01010000,"Live horses, asses, mules and hinnies",tariff_class:1
010190,01019000,Live mules and hinnies,tariff_class:1
010200,01020000,Live bovine animals,tariff_class:1
010290,01029000,Live bovine animals (excl. cattle and buffalo),tariff_class:1
010300,01030000,Live swine,tariff_class:1
010310,01031000,Pure-bred breeding swine,tariff_class:1
010391,01039100,"Live pure-bred swine, weighing < 50 kg (excl. pure-bred for breeding)",tariff_class:1
010391,01039110,"Domestic swine, weighing < 50 kg (excl. pure-bred for breeding)",tariff_class:1
010391,01039190,"Live non-domestic swine, weighing < 50 kg",tariff_class:1
010392,01039200,"Live pure-bred swine, weighing >= 50 kg (excl. pure-bred for breeding)",tariff_class:1
010392,01039211,"Live domestic sows, having farrowed at least once, weighing >= 160 kg (excl. pure-bred for breeding)",tariff_class:1
010392,01039219,"Live domestic swine, weighing >= 50 kg (excl. sows having farrowed at least once and weighing >= 160 kg, and those pure-bred for breeding)",tariff_class:1
010392,01039290,"Live non-domestic swine, weighing >= 50 kg",tariff_class:1
010400,01040000,Live sheep and goats,tariff_class:1
010410,01041000,Live sheep,tariff_class:1
010410,01041010,Pure-bred sheep for breeding,tariff_class:1
010410,01041030,"Live lambs ""sheep up to a year old"" (excl. purebred breeding animals)",tariff_class:1
010410,01041080,Live sheep (excl. lambs and pure-bred breeding animals),tariff_class:1
010420,01042000,Live goats,tariff_class:1
010420,01042010,Pure-bred breeding goats,tariff_class:1
010420,01042090,Live goats (excl. pure-bred for breeding),tariff_class:1
010500,01050000,"Live poultry, ""fowls of the species Gallus domesticus, ducks, geese, turkeys and guinea fowls""",tariff_class:1
010511,01051100,"Live fowls of the species Gallus domesticus, weighing <= 185 g (excl. turkeys and guinea fowls)",tariff_class:1
010511,01051111,Grandparent and parent female chicks of fowls of the species Gallus domesticus laying stocks of a weight of <= 185 g,tariff_class:1
010511,01051119,Grandparent and parent female chicks fowls of the species Gallus domesticus of a weight of <= 185 g (excl. laying stocks),tariff_class:1
010511,01051191,"Laying stock ""fowls of the species Gallus domesticus"" of a weight of <= 185 g (excl. grandparent and parent female chicks)",tariff_class:1
010511,01051199,Live fowls of the species Gallus domesticus of a weight of <= 185 g (excl. grandparent and parent female chicks and laying stocks),tariff_class:1
010512,01051200,"Live domestic turkeys, weighing <= 185 g",tariff_class:1
010594,01059400,"Live fowls of the species Gallus domesticus, weighing > 185",tariff_class:1
010599,01059900,"Live domestic ducks, geese, turkeys and guinea fowls, weighing > 185 g",tariff_class:1
