code,name_fa,name_en,name_ru,name_local,country,is_border_crossing,trade_role,aliases,code_verified
5,13 km,13 km,,,Azerbaijan,,,"13 km, AZE",false
12,23 km,23 km,,,Azerbaijan,,,"23 km, AZE",false
1435,28 km,28 km,,,Azerbaijan,,,"28 km, AZE",false
1428,30 km,30 km,,,Azerbaijan,,,"30 km, AZE",false
1416,36 km,36 km,,,Azerbaijan,,,"36 km, AZE",false
,8 km,8 km,,,Azerbaijan,,,"8 km, AZE",false
16,Agbent,Agbent,,,Azerbaijan,,,"Agbent, AZE",false
556,Agdam,Agdam,,,Azerbaijan,,,"Agdam, AZE",false
1585,Akara,Akara,,,Azerbaijan,,,"Akara, AZE",false
,Akstafa,Akstafa,,,Azerbaijan,,,"Akstafa, AZE",false
,Alabashly,Alabashly,,,Azerbaijan,,,"Alabashly, AZE",false
,Alikent,Alikent,,,Azerbaijan,,,"Alikent, AZE",false
452,Alyat,Alyat,,,Azerbaijan,,,"Alyat, AZE",false
549784,Alyat (exp. to Aktau-Port),Alyat (exp. to Aktau-Port),,,Azerbaijan,,,"Alyat (exp. to Aktau-Port), AZE",false
2,Alyat (exp. to Kuryk-Port),Alyat (exp. to Kuryk-Port),,,Azerbaijan,,,"Alyat (exp. to Kuryk-Port), AZE",false
4,Alyat (exp. to Turkmenbashi I,Alyat (exp. to Turkmenbashi I,,,Azerbaijan,,,"Alyat (exp. to Turkmenbashi I , AZE",false
47,Alyat-Novaya,Alyat-Novaya,,,Azerbaijan,,,"Alyat-Novaya, AZE",false
404,Apsheron,Apsheron,,,Azerbaijan,,,"Apsheron, AZE",false
,Askeran,Askeran,,,Azerbaijan,,,"Askeran, AZE",false
54109,Astara,Astara,,,Azerbaijan,,,"Astara, AZE",false
458,Astara (exp.),Astara (exp.),,,Azerbaijan,,,"Astara (exp.), AZE",false
47,Atbulak,Atbulak,,,Azerbaijan,,,"Atbulak, AZE",false
,Azadikent,Azadikent,,,Azerbaijan,,,"Azadikent, AZE",false
4756,Baglar,Baglar,,,Azerbaijan,,,"Baglar, AZE",false
547069,Bakihanov,Bakihanov,,,Azerbaijan,,,"Bakihanov, AZE",false
,Baku-Passazhirskaya (Passenger),Baku-Passazhirskaya (Passenger),,,Azerbaijan,,,"Baku-Passazhirskaya (Passenger), AZE",false
472,Baku-Torgovaya Pristan,Baku-Torgovaya Pristan,,,Azerbaijan,,,"Baku-Torgovaya Pristan, AZE",false
547406,Baku-Torgovaya Pristan (exp.),Baku-Torgovaya Pristan (exp.),,,Azerbaijan,,,"Baku-Torgovaya Pristan (exp.), AZE",false
4720,Baku-Torgovaya Pristan (perev),Baku-Torgovaya Pristan (perev),,,Azerbaijan,,,"Baku-Torgovaya Pristan (perev), AZE",false
47105,Baku-Tovarnaya,Baku-Tovarnaya,,,Azerbaijan,,,"Baku-Tovarnaya, AZE",false
47685,Baku-Tovarnaya (Terminal),Baku-Tovarnaya (Terminal),,,Azerbaijan,,,"Baku-Tovarnaya (Terminal), AZE",false
46808,Balajary,Balajary,,,Azerbaijan,,,"Balajary, AZE",false
,Barda,Barda,,,Azerbaijan,,,"Barda, AZE",false
404,Bargushety,Bargushety,,,Azerbaijan,,,"Bargushety, AZE",false
5,Barhudarly,Barhudarly,,,Azerbaijan,,,"Barhudarly, AZE",false
57,Barhudarly (exp.),Barhudarly (exp.),,,Azerbaijan,,,"Barhudarly (exp.), AZE",false
,Bartaz (rzd),Bartaz (rzd),,,Azerbaijan,,,"Bartaz (rzd), AZE",false
57,Bashbashi,Bashbashi,,,Azerbaijan,,,"Bashbashi, AZE",false
,Bayan,Bayan,,,Azerbaijan,,,"Bayan, AZE",false
,Begmanli,Begmanli,,,Azerbaijan,,,"Begmanli, AZE",false
,Belokany,Belokany,,,Azerbaijan,,,"Belokany, AZE",false
,Beyuk-Kyasik,Beyuk-Kyasik,,,Azerbaijan,,,"Beyuk-Kyasik, AZE",false
,Beyuk-Kyasik (exp.),Beyuk-Kyasik (exp.),,,Azerbaijan,,,"Beyuk-Kyasik (exp.), AZE",false
546545,Bilgya,Bilgya,,,Azerbaijan,,,"Bilgya, AZE",false
46851,Binagadi,Binagadi,,,Azerbaijan,,,"Binagadi, AZE",false
,Byna,Byna,,,Azerbaijan,,,"Byna, AZE",false
545400,Charhi,Charhi,,,Azerbaijan,,,"Charhi, AZE",false
,Dalimamedly,Dalimamedly,,,Azerbaijan,,,"Dalimamedly, AZE",false
51986,Dashburun,Dashburun,,,Azerbaijan,,,"Dashburun, AZE",false
110,Dayke (rzd),Dayke (rzd),,,Azerbaijan,,,"Dayke (rzd), AZE",false
46827,Depo,Depo,,,Azerbaijan,,,"Depo, AZE",false
,Dollyar,Dollyar,,,Azerbaijan,,,"Dollyar, AZE",false
547984,Dyubendy (rzd),Dyubendy (rzd),,,Azerbaijan,,,"Dyubendy (rzd), AZE",false
,Dzegam,Dzegam,,,Azerbaijan,,,"Dzegam, AZE",false
46981,G.Z.Tagiyev-Sort.,G.Z.Tagiyev-Sort.,,,Azerbaijan,,,"G.Z.Tagiyev-Sort., AZE",false
46502,Gaji Zeynalabdin,Gaji Zeynalabdin,,,Azerbaijan,,,"Gaji Zeynalabdin, AZE",false
,Gajigabul,Gajigabul,,,Azerbaijan,,,"Gajigabul, AZE",false
1,Gara Bork,Gara Bork,,,Azerbaijan,,,"Gara Bork, AZE",false
410,Garasu,Garasu,,,Azerbaijan,,,"Garasu, AZE",false
5588,Geran,Geran,,,Azerbaijan,,,"Geran, AZE",false
4402,Geylyarchel,Geylyarchel,,,Azerbaijan,,,"Geylyarchel, AZE",false
,Geyshaban,Geyshaban,,,Azerbaijan,,,"Geyshaban, AZE",false
4571,Gilgil-Chay,Gilgil-Chay,,,Azerbaijan,,,"Gilgil-Chay, AZE",false
48409,Gobustan,Gobustan,,,Azerbaijan,,,"Gobustan, AZE",false
6,Goradiz,Goradiz,,,Azerbaijan,,,"Goradiz, AZE",false
47808,Govsan,Govsan,,,Azerbaijan,,,"Govsan, AZE",false
,Gyanja,Gyanja,,,Azerbaijan,,,"Gyanja, AZE",false
6246,Gyanjachay,Gyanjachay,,,Azerbaijan,,,"Gyanjachay, AZE",false
546608,Gyuzdek,Gyuzdek,,,Azerbaijan,,,"Gyuzdek, AZE",false
7,Imishli,Imishli,,,Azerbaijan,,,"Imishli, AZE",false
,Jalilabad,Jalilabad,,,Azerbaijan,,,"Jalilabad, AZE",false
,Julfa,Julfa,,,Azerbaijan,,,"Julfa, AZE",false
,Julfa (exp.),Julfa (exp.),,,Azerbaijan,,,"Julfa (exp.), AZE",false
1401,Kafan,Kafan,,,Azerbaijan,,,"Kafan, AZE",false
,Kahi,Kahi,,,Azerbaijan,,,"Kahi, AZE",false
47675,Kala,Kala,,,Azerbaijan,,,"Kala, AZE",false
54005,Kamyshevka,Kamyshevka,,,Azerbaijan,,,"Kamyshevka, AZE",false
4611,Karabudzhak,Karabudzhak,,,Azerbaijan,,,"Karabudzhak, AZE",false
41,Karadag,Karadag,,,Azerbaijan,,,"Karadag, AZE",false
472,Karadag (terminal),Karadag (terminal),,,Azerbaijan,,,"Karadag (terminal), AZE",false
,Karagyuna (rzd),Karagyuna (rzd),,,Azerbaijan,,,"Karagyuna (rzd), AZE",false
,Karchivan,Karchivan,,,Azerbaijan,,,"Karchivan, AZE",false
5,Kazumly,Kazumly,,,Azerbaijan,,,"Kazumly, AZE",false
4537,Khachmas,Khachmas,,,Azerbaijan,,,"Khachmas, AZE",false
,Khalach,Khalach,,,Azerbaijan,,,"Khalach, AZE",false
51689,Khalafli (rzd),Khalafli (rzd),,,Azerbaijan,,,"Khalafli (rzd), AZE",false
,Khanabad,Khanabad,,,Azerbaijan,,,"Khanabad, AZE",false
,Khankedi,Khankedi,,,Azerbaijan,,,"Khankedi, AZE",false
4517,Khudat,Khudat,,,Azerbaijan,,,"Khudat, AZE",false
46704,Khyrdalan,Khyrdalan,,,Azerbaijan,,,"Khyrdalan, AZE",false
546009,Kilyazi,Kilyazi,,,Azerbaijan,,,"Kilyazi, AZE",false
,Kirminzi-Kend,Kirminzi-Kend,,,Azerbaijan,,,"Kirminzi-Kend, AZE",false
1261,Kishlak,Kishlak,,,Azerbaijan,,,"Kishlak, AZE",false
471,Kishly,Kishly,,,Azerbaijan,,,"Kishly, AZE",false
475,Kishly o.p.,Kishly o.p.,,,Azerbaijan,,,"Kishly o.p., AZE",false
45805,Kizil-Burun,Kizil-Burun,,,Azerbaijan,,,"Kizil-Burun, AZE",false
,Kovlyar,Kovlyar,,,Azerbaijan,,,"Kovlyar, AZE",false
452,Kusar-Chay,Kusar-Chay,,,Azerbaijan,,,"Kusar-Chay, AZE",false
,Kushchynskiy Most,Kushchynskiy Most,,,Azerbaijan,,,"Kushchynskiy Most, AZE",false
56589,Kyrykhly,Kyrykhly,,,Azerbaijan,,,"Kyrykhly, AZE",false
,Kyucharli,Kyucharli,,,Azerbaijan,,,"Kyucharli, AZE",false
54607,Kyurdamir,Kyurdamir,,,Azerbaijan,,,"Kyurdamir, AZE",false
5765,Kyurok-Chay,Kyurok-Chay,,,Azerbaijan,,,"Kyurok-Chay, AZE",false
56405,Kyzylja,Kyzylja,,,Azerbaijan,,,"Kyzylja, AZE",false
549505,Lejet,Lejet,,,Azerbaijan,,,"Lejet, AZE",false
5,Lenkoran,Lenkoran,,,Azerbaijan,,,"Lenkoran, AZE",false
,Liman,Liman,,,Azerbaijan,,,"Liman, AZE",false
,Lyaki,Lyaki,,,Azerbaijan,,,"Lyaki, AZE",false
,Mahmudly,Mahmudly,,,Azerbaijan,,,"Mahmudly, AZE",false
,Malay,Malay,,,Azerbaijan,,,"Malay, AZE",false
47,Masally,Masally,,,Azerbaijan,,,"Masally, AZE",false
549609,Mashtaga,Mashtaga,,,Azerbaijan,,,"Mashtaga, AZE",false
51168,Megri,Megri,,,Azerbaijan,,,"Megri, AZE",false
,Mingechaur,Mingechaur,,,Azerbaijan,,,"Mingechaur, AZE",false
,Mingechaur-Gorod,Mingechaur-Gorod,,,Azerbaijan,,,"Mingechaur-Gorod, AZE",false
7,Minjevan,Minjevan,,,Azerbaijan,,,"Minjevan, AZE",false
4506,Mugan,Mugan,,,Azerbaijan,,,"Mugan, AZE",false
,Myursaly,Myursaly,,,Azerbaijan,,,"Myursaly, AZE",false
54708,Myusyusli,Myusyusli,,,Azerbaijan,,,"Myusyusli, AZE",false
,Nahichevan,Nahichevan,,,Azerbaijan,,,"Nahichevan, AZE",false
49887,Navagi,Navagi,,,Azerbaijan,,,"Navagi, AZE",false
7,Neftechala,Neftechala,,,Azerbaijan,,,"Neftechala, AZE",false
7,Ordubad,Ordubad,,,Azerbaijan,,,"Ordubad, AZE",false
,Osmanly-Noviye,Osmanly-Noviye,,,Azerbaijan,,,"Osmanly-Noviye, AZE",false
425,Padar,Padar,,,Azerbaijan,,,"Padar, AZE",false
47919,Pirallah,Pirallah,,,Azerbaijan,,,"Pirallah, AZE",false
46507,Pirshagi (rzd),Pirshagi (rzd),,,Azerbaijan,,,"Pirshagi (rzd), AZE",false
549108,Pirsogat,Pirsogat,,,Azerbaijan,,,"Pirsogat, AZE",false
,Poyljy-Novaya,Poyljy-Novaya,,,Azerbaijan,,,"Poyljy-Novaya, AZE",false
48,Poyly,Poyly,,,Azerbaijan,,,"Poyly, AZE",false
4108,Puta,Puta,,,Azerbaijan,,,"Puta, AZE",false
7408,Qazax,Qazax,,,Azerbaijan,,,"Qazax, AZE",false
